zipcode,population,year
60601,11905.0,2015
60602,1294.0,2015
60603,1076.0,2015
60604,545.0,2015
60605,27238.0,2015
60606,3098.0,2015
60607,27557.0,2015
60608,79607.0,2015
60609,62010.0,2015
60610,39598.0,2015
60611,31165.0,2015
60612,36531.0,2015
60613,49389.0,2015
60614,69423.0,2015
60615,41210.0,2015
60616,52214.0,2015
60617,82213.0,2015
60618,97324.0,2015
60619,63411.0,2015
60620,69909.0,2015
60621,31881.0,2015
60622,55516.0,2015
60623,88635.0,2015
60624,38140.0,2015
60625,78731.0,2015
60626,49118.0,2015
60628,67914.0,2015
60629,114982.0,2015
60630,56653.0,2015
60631,28255.0,2015
60632,91310.0,2015
60633,12754.0,2015
60634,74093.0,2015
60636,37278.0,2015
60637,50326.0,2015
60638,57958.0,2015
60639,91379.0,2015
60640,66050.0,2015
60641,72588.0,2015
60643,50992.0,2015
60644,49080.0,2015
60645,45873.0,2015
60646,28203.0,2015
60647,88269.0,2015
60649,45305.0,2015
60651,61287.0,2015
60652,42176.0,2015
60653,30683.0,2015
60654,15934.0,2015
60655,28479.0,2015
60656,28526.0,2015
60657,69147.0,2015
60659,38276.0,2015
60660,40719.0,2015
60661,8875.0,2015
60642,19989.0,2015
